"-------------------------------------------------------------------------------------------"
"  Atmospheric CO2 record based on ice core data before 1958,                               "
"  (Ethridge et. al., 1996; MacFarling Meure et al., 2006) and                              "
"  yearly averages of direct observations from Mauna Loa and the South Pole after and       "
"  including 1958 (from Scripps CO2 Program).                                               "
"                                                                                           "
"  in situ data is based on simple average of Mauna Loa and South Pole from values on Jan 1 "
"                                                                                           "   
"  For Mauna Loa Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m     "
"  For South Pole: Latitude 90.0°S Elevation 2810m                                          "
"                                                                                           "
"   Scripps CO2 Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker     "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of Scripps CO2 data and correspondence:                                          "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          "
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
"                                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"Y";"CO2"
13;276.75
29;277.88
56;277.38
104;277.51
136;278.13
168;280.05
202;280.72
227;281.49
274;280.13
302;279.83
329;278.92
364;277.05
428;276.91
461;276.72
499;276.36
536;276
572;277.56
595;276.9
632;278.25
667;279.39
698;279.7
729;278.53
764;278.53
799;278.55
857;279.34
897;278.91
944;279.12
968;278.46
1005;280.5
1025;280.83
1058;282.76
1105;282.75
1159;283.88
1207;283.6
1257;282.11
1275;281.13
1306;281.5
1349;280.06
1411;279.62
1429;279.54
1431;282.52
1560;281.75
1588;281.03
1610;271.83
1628;274.5
1640;276.62
1689;276.25
1722;276.94
1734;278.23
1742;276.74
1752;276.39
1763;276.32
1773;277.78
1780;276.78
1794;281.54
1799;281.15
1814;284.34
1826;281.28
1834;283.73
1838;284.07
1844;286.5
1846;284.13
1849;287.73
1852;288.57
1854;287.03
1859;286.48
1864;285.41
1867;285.22
1869;287.69
1873;287.17
1874;290.52
1884;289.81
1886;290.62
1889;291.87
1894;293.84
1896;298.16
1899;296.1
1902;295.32
1904;295.12
1909;300.45
1911;298.39
1914;300.35
1918;303.27
1919;303.55
1923;305.2
1928;307.77
1929;305.72
1933;307.21
1934;307.82
1936;308.99
1938;309.56
1939;310.94
1940;311.9
1941;310.7
1942;311.29
1943;310.77
1944;311.59
1945;309.75
1946;311.46
1947;310.75
1948;310.47
1949;311.15
1950;312.55
1953;312.06
1954;311.68
1955;313.64
1957;314.04
1958;314.59
1959;315.39
1960;316.3
1961;316.97
1962;317.76
1963;318.34
1964;318.91
1965;319.29
1966;320.45
1967;321.44
1968;322.06
1969;323.15
1970;324.48
1971;325.4
1972;326.09
1973;327.68
1974;329.18
1975;329.76
1976;330.89
1977;332.04
1978;333.88
1979;335.2
1980;336.9
1981;338.58
1982;339.66
1983;340.9
1984;342.89
1985;344.14
1986;345.54
1987;346.95
1988;349.19
1989;351.06
1990;352.29
1991;353.77
1992;354.86
1993;355.69
1994;356.77
1995;358.68
1996;360.58
1997;361.83
1998;363.63
1999;366.36
2000;367.6
2001;368.91
2002;370.69
2003;373.1
2004;375.19
2005;376.94
2006;379.29
2007;381.01
2008;383.07
2009;384.82
2010;386.73
2011;388.92
2012;390.71
2013;393.31
2014;395.88
2015;397.83
2016;400.78
2017;403.58
2018;405.63
