"Ano","Superficie","Cultivo","PorcentajeOGM"
1961,0.00098,"Soja",0
1962,0.009649,"Soja",0
1963,0.019302,"Soja",0
1964,0.01222,"Soja",0
1965,0.016422,"Soja",0
1966,0.015689,"Soja",0
1967,0.01729,"Soja",0
1968,0.0202,"Soja",0
1969,0.0282,"Soja",0
1970,0.02597,"Soja",0
1971,0.03633,"Soja",0
1972,0.068,"Soja",0
1973,0.15703,"Soja",0
1974,0.33444,"Soja",0
1975,0.35594,"Soja",0
1976,0.4335,"Soja",0
1977,0.66,"Soja",0
1978,1.15,"Soja",0
1979,1.6,"Soja",0
1980,2.03,"Soja",0
1981,1.88,"Soja",0
1982,1.9856,"Soja",0
1983,2.2807,"Soja",0
1984,2.91,"Soja",0
1985,3.269,"Soja",0
1986,3.316,"Soja",0
1987,3.53265,"Soja",0
1988,4.3732,"Soja",0
1989,3.93125,"Soja",0
1990,4.9616,"Soja",0
1991,4.7745,"Soja",0
1992,4.93571,"Soja",0
1993,5.116235,"Soja",0
1994,5.74891,"Soja",0
1995,5.93416,"Soja",0
1996,5.913415,"Soja",5.69993584369729
1997,6.39378,"Soja",25.0192003418052
1998,6.95412,"Soja",62.8790047083714
1999,8.18,"Soja",73.9471393041445
2000,8.637503,"Soja",94.9206929846898
2001,10.400193,"Soja",95.6944275703923
2002,11.405247,"Soja",99.4103730464698
2003,12.419995,"Soja",97.0387123757687
2004,14.304539,"Soja",89.5274623944106
2005,14.032198,"Soja",98.6789422943459
2006,15.130038,"Soja",95.3721911296266
2007,15.981264,"Soja",94.6244927040662
2008,16.387438,"Soja",94.5027533155764
2009,16.771003,"Soja",98.7618505168184
2010,18.1308,"Soja",93.9574542693722
2011,18.76485,"Soja",91.2681724006198
2012,17.57732,"Soja",99.0927385111388
2013,19.418824,"Soja",96.1695397182961
2014,19.252552,"Soja",100
1961,4.4209,"Maíz",0
1962,3.7447,"Maíz",0
1963,5.676,"Maíz",0
1964,6.1354,"Maíz",0
1965,4.6012,"Maíz",0
1966,5.2136,"Maíz",0
1967,5.8116,"Maíz",0
1968,5.8372,"Maíz",0
1969,5.1913,"Maíz",0
1970,3.7008,"Maíz",0
1971,4.29464,"Maíz",0
1972,4.9651,"Maíz",0
1973,3.9579,"Maíz",0
1974,4.233,"Maíz",0
1975,5.2706,"Maíz",0
1976,6.7949,"Maíz",0
1977,4.153,"Maíz",0
1978,4.8686,"Maíz",0
1979,4.9118,"Maíz",0
1980,5.1134,"Maíz",0
1981,5.9723,"Maíz",0
1982,7.3642,"Maíz",0
1983,7.1238,"Maíz",0
1984,5.9298,"Maíz",0
1985,5.4043,"Maíz",0
1986,4.9141,"Maíz",0
1987,4.8289,"Maíz",0
1988,4.686615,"Maíz",0
1989,5.307274,"Maíz",0
1990,5.307274,"Maíz",0
1991,5.8173,"Maíz",0
1992,4.58455,"Maíz",0
1993,4.2952,"Maíz",0
1994,4.8113,"Maíz",0
1995,5.26258,"Maíz",0
1996,4.93295,"Maíz",0
1997,7.18204,"Maíz",0
1998,5.78303,"Maíz",0.183739163936937
1999,5.47186,"Maíz",2.86800616337556
2000,6.22298,"Maíz",7.61804295578508
2001,6.475695,"Maíz",10.6024621137092
2002,6.88797,"Maíz",13.2904781132779
2003,6.08963,"Maíz",21.4754812759946
2004,5.782072,"Maíz",14.4541863713817
2005,6.12357,"Maíz",22.6244924220508
2006,5.02814,"Maíz",36.7867161616559
2007,5.58923,"Maíz",43.2866083215505
2008,5.831684,"Maíz",37.2261323094564
2009,4.33478,"Maíz",50.0812129268245
2010,3.325457,"Maíz",86.6652113079277
2011,4.582575,"Maíz",74.9123701166221
2012,4.560213,"Maíz",78.4342979904404
2013,3.060199,"Maíz",100
2014,3.451785,"Maíz",79.5626736861489
